id,nome,preço,quantidade,descrição
0,Tapete Higiênico,80.0,5,Solução ecológica eficiente e econômica. Ideal para treinar seu animal de estimação a fazer as necessidades no local correto.
1,Cama para Cachorro,120.0,10,Confortável cama para proporcionar uma ótima noite de sono ao seu amigo peludo.
2,Shampoo para Cães e Gatos,25.0,15,Shampoo suave e de qualidade para uma limpeza profunda e delicada da pele e pelos do seu pet.
3,Condicionador para Cães e Gatos,20.0,12,Condicionador que deixa os pelos do seu animal macios, sedosos e fáceis de pentear.
4,Petisco Natural para Cães,15.0,20,Petisco saudável e saboroso, perfeito para treinamento ou como agrado para o seu cão.
5,Casinha para Roedores,50.0,8,Casinha resistente e segura para proporcionar um ambiente confortável para seu roedor.
6,Ração Premium para Cães,65.0,30,Ração completa e balanceada, rica em nutrientes essenciais para a saúde e vitalidade do seu cão.
7,Brinquedo Interativo para Gatos,10.0,25,Brinquedo estimulante que ajuda a manter seu gato ativo e entretido por horas.
8,Vasilha de Água Antiderrapante,12.0,18,Vasilha resistente e antiderrapante para garantir que seu pet tenha água fresca disponível o tempo todo.
9,Coleira Anti-pulgas e Carrapatos,18.0,20,Coleira repelente que protege seu animal contra pulgas, carrapatos e outros parasitas.
10,Peixe Betta,15.0,10,Peixe de água doce com cores vibrantes, ideal para aquários pequenos e fáceis de cuidar.
13,Arranhador para Gatos,40.0,12,Arranhador resistente e seguro, perfeito para ajudar seu gato a afiar as unhas e manter-se ativo.
11,Aquário de Vidro,200.0,3,Aquário espaçoso e elegante para criar um ambiente aquático saudável e visualmente atrativo para seus peixes.
12,Remédio Vermífugo para Cães e Gatos,30.0,8,Remédio eficaz no combate e prevenção de vermes intestinais em cães e gatos.
14,test,13.0,7,miqusdm
